File Start Time: 1262318536534
timestamp,acc_x,acc_y,acc_z,real time,activity
13066166459242,-2.5625,0.31347656,9.8828125,1262318683509,None
13066176459242,-2.59375,0.34228516,9.890625,1262318683510,None
13066186459242,-2.5703125,0.36132812,9.8984375,1262318683513,None
13066196459242,-2.5664062,0.34472656,9.859375,1262318683515,None
13066206459242,-2.5449219,0.36865234,9.890625,1262318683543,None
13066216459242,-2.5566406,0.37329102,9.859375,1262318683545,None
13066226459242,-2.5410156,0.3972168,9.859375,1262318683546,None
13066236459242,-2.5585938,0.36865234,9.890625,1262318683573,None
13066246459242,-2.59375,0.37109375,9.8828125,1262318683574,None
13066256459242,-2.5800781,0.36132812,9.8671875,1262318683575,None
13066266459242,-2.5585938,0.32543945,9.8671875,1262318683603,None
13066276459242,-2.6015625,0.33496094,9.8828125,1262318683604,None
13066286459242,-2.6132812,0.33276367,9.8671875,1262318683605,None
13066296459242,-2.5976562,0.33740234,9.859375,1262318683633,None
13066306459242,-2.578125,0.33740234,9.859375,1262318683634,None
13066316459242,-2.5683594,0.33984375,9.8359375,1262318683635,None
13066326459242,-2.5703125,0.34692383,9.875,1262318683664,None
13066336459242,-2.578125,0.38305664,9.8828125,1262318683665,None
13066346459242,-2.5585938,0.39013672,9.875,1262318683667,None
13066356459242,-2.546875,0.38061523,9.875,1262318683694,None
13066366459242,-2.5410156,0.3876953,9.8984375,1262318683695,None
13066376459242,-2.5390625,0.4140625,9.8828125,1262318683697,None
13066386459242,-2.5722656,0.39257812,9.859375,1262318683724,None
13066396459242,-2.5917969,0.37109375,9.84375,1262318683725,None
13066406459242,-2.6113281,0.31835938,9.8359375,1262318683727,None
13066416459242,-2.5566406,0.27514648,9.8515625,1262318683754,None
13066426459242,-2.5878906,0.28710938,9.8515625,1262318683755,None
13066436459242,-2.6464844,0.33984375,9.8828125,1262318683757,None
13066446459242,-2.609375,0.35180664,9.890625,1262318683784,None
13066456459242,-2.5683594,0.34692383,9.8515625,1262318683786,None
13066466459242,-2.5820312,0.3972168,9.8515625,1262318683787,None
13066476459242,-2.5800781,0.4165039,9.890625,1262318683814,None
13066486459242,-2.5625,0.38061523,9.859375,1262318683816,None
13066496459242,-2.5507812,0.33984375,9.859375,1262318683817,None
13066506459242,-2.5625,0.31347656,9.8828125,1262318683844,None
13066516459242,-2.5566406,0.33276367,9.90625,1262318683846,None
13066526459242,-2.5585938,0.35424805,9.890625,1262318683847,None
13066536459242,-2.5722656,0.33740234,9.859375,1262318683874,None
13066546459242,-2.5800781,0.34692383,9.859375,1262318683876,None
13066556459242,-2.5976562,0.33984375,9.828125,1262318683877,None
13066566459242,-2.5917969,0.37817383,9.8515625,1262318683912,None
13066576459242,-2.5703125,0.39013672,9.8828125,1262318683914,None
13066586459242,-2.5820312,0.36376953,9.890625,1262318683915,None
13066596459242,-2.5507812,0.35424805,9.890625,1262318683925,None
13066606459242,-2.5273438,0.36376953,9.84375,1262318683926,None
13066616459242,-2.546875,0.37573242,9.8828125,1262318683955,None
13066626459242,-2.5703125,0.36865234,9.8828125,1262318683956,None
13066636459242,-2.5898438,0.35888672,9.875,1262318683958,None
13066646459242,-2.5820312,0.34692383,9.8671875,1262318683985,None
13066656459242,-2.609375,0.33740234,9.875,1262318683986,None
13066666459242,-2.5996094,0.34228516,9.8515625,1262318684022,None
13066676459242,-2.5820312,0.33496094,9.84375,1262318684035,None
13066686459242,-2.5683594,0.34228516,9.8671875,1262318684037,None
13066696459242,-2.5742188,0.33984375,9.875,1262318684038,None
13066706459242,-2.5800781,0.35888672,9.859375,1262318684041,None
13066716459242,-2.5605469,0.3876953,9.84375,1262318684045,None
13066726459242,-2.5625,0.37573242,9.8828125,1262318684046,None
13066736459242,-2.5605469,0.39013672,9.875,1262318684077,None
13066746459242,-2.5800781,0.39257812,9.8984375,1262318684081,None
13066756459242,-2.5742188,0.3972168,9.875,1262318684083,None
13066766459242,-2.5742188,0.39257812,9.875,1262318684105,None
13066776459242,-2.5820312,0.36376953,9.8515625,1262318684107,None
13066786459242,-2.5683594,0.37817383,9.859375,1262318684108,None
13066796459242,-2.5800781,0.35180664,9.890625,1262318684136,None
13066806459242,-2.5839844,0.33276367,9.890625,1262318684136,None
13066816459242,-2.5722656,0.33984375,9.8671875,1262318684137,None
13066826459242,-2.5703125,0.33984375,9.8984375,1262318684167,None
13066836459242,-2.5820312,0.34472656,9.8828125,1262318684167,None
13066846459242,-2.5820312,0.33496094,9.8359375,1262318684169,None
13066856459242,-2.5625,0.35424805,9.8828125,1262318684196,None
13066866459242,-2.5605469,0.35424805,9.859375,1262318684197,None
13066876459242,-2.5683594,0.35424805,9.859375,1262318684197,None
13066886459242,-2.5820312,0.37109375,9.8984375,1262318684227,None
13066896459242,-2.5742188,0.38061523,9.859375,1262318684228,None
13066906459242,-2.5449219,0.37573242,9.875,1262318684229,None
13066916459242,-2.5683594,0.39257812,9.9375,1262318684256,None
13066926459242,-2.5664062,0.36865234,9.8671875,1262318684257,None
13066936459242,-2.578125,0.35888672,9.8359375,1262318684258,None
13066946459242,-2.5898438,0.36376953,9.8828125,1262318684287,None
13066956459242,-2.6035156,0.33032227,9.890625,1262318684287,None
13066966459242,-2.5878906,0.35424805,9.859375,1262318684288,None
13066976459242,-2.5820312,0.35668945,9.859375,1262318684316,None
13066986459242,-2.578125,0.35180664,9.8671875,1262318684317,None
13066996459242,-2.5878906,0.32788086,9.8828125,1262318684318,None
13067006459242,-2.5742188,0.33496094,9.8671875,1262318684346,None
13067016459242,-2.5722656,0.34692383,9.859375,1262318684347,None
13067026459242,-2.5703125,0.36621094,9.875,1262318684348,None
13067036559242,-2.5742188,0.36132812,9.8828125,1262318684392,None
13067046659242,-2.5664062,0.35668945,9.875,1262318684393,None
13067056759242,-2.5820312,0.35180664,9.859375,1262318684393,None
13067066859242,-2.5839844,0.37817383,9.8828125,1262318684394,None
13067076959242,-2.5722656,0.35668945,9.8515625,1262318684417,None
13067087059242,-2.5722656,0.37573242,9.8359375,1262318684417,None
13067097159242,-2.5917969,0.35888672,9.8828125,1262318684418,None
13067107259242,-2.5722656,0.31835938,9.90625,1262318684447,None
13067117359242,-2.5664062,0.36621094,9.875,1262318684447,None
13067127459242,-2.5527344,0.36132812,9.8828125,1262318684448,None
13067137559242,-2.5703125,0.34472656,9.875,1262318684477,None
13067147659242,-2.5820312,0.35888672,9.875,1262318684477,None
13067157759242,-2.5585938,0.37817383,9.859375,1262318684478,None
13067167859242,-2.5839844,0.34692383,9.875,1262318684507,None
13067177959242,-2.5820312,0.36376953,9.859375,1262318684508,None
13067188059242,-2.5878906,0.35888672,9.8828125,1262318684508,None
13067198159242,-2.5917969,0.35424805,9.8828125,1262318684537,None
